row_no,source_type,provider,title,category,address,latitude,longitude,tel,tags,source,document_id,chunk_id,content,imported_at,updated_at
"1","","한국관광공사 TourAPI","대전서구문화원","문화시설","대전광역시 서구 계룡로553번길 38","","","","대전|무장애여행|문화시설|wheelchair|mobility_access","tourapi:KorWithService2:130197","2ee8a86f-ee0d-4d40-b688-3022477d37c6","22f68b5f-4d4d-4e24-b919-ee27a29294c6","대전서구문화원은/는 대전 지역의 문화시설 콘텐츠입니다. 주소는 대전광역시 서구 계룡로553번길 38입니다. 무장애 접근성 정보는 장애인 주차: 장애인 전용 주차구역 있음(지하 공영주차장)_무장애 편의시설, 대중교통: 출입구까지 단차가 없어 휠체어 접근 가능함(수동문), 출입통로: 주출입구는 단차가 없어 휠체어 접근 가능함, 엘리베이터: 엘리베이터 있음, 관람석: 장애인 전용 관람석 있음(4석)입니다. 휠체어 또는 이동약자 관련 근거가 있는 장소로 분류했습니다. 현장 운영 상황과 편의시설 사용 가능 여부는 방문 전에 공식 안내처로 다시 확인해야 합니다.","2026-06-23T12:12:05.964Z","2026-06-08T16:01:50.211865+00:00"
"2","","한국관광공사 TourAPI","대전어린이회관","문화시설","대전광역시 유성구 월드컵대로 32 대전월드컵경기장","","","","대전|무장애여행|문화시설|wheelchair|mobility_access|visual_impairment|stroller","tourapi:KorWithService2:1125312","91987e2a-4852-4020-9209-129792d1c89c","43297c40-603f-4aea-8675-7f5f1daa4e71","대전어린이회관은/는 대전 지역의 문화시설 콘텐츠입니다. 주소는 대전광역시 유성구 월드컵대로 32 대전월드컵경기장입니다. 무장애 접근성 정보는 장애인 주차: 장애인 전용 주차구역 있음(지하)_무장애 편의시설, 대중교통: 출입구까지 단차가 없어 휠체어 접근 가능함, 휠체어: 휠체어 무료대여(2대), 출입통로: 주출입구는 단차가 없어 휠체어 접근 가능함, 엘리베이터: 엘리베이터 있음, 장애인 화장실: 장애인 전용 화장실(입구로비쪽), 점자블록: 점자블록 있음(건물입구 앞)_시각장애인 편의시설, 유모차: 유모차 무료대여(4대), 수유실: 수유실 있음(감각놀이터), 영유아가족 기타: 유아 휴게실 있음입니다. 휠체어 또는 이동약자 관련 근거가 있는 장소로 분류했습니다. 유모차 또는 영유아 가족 관련 근거가 있는 장소로 분류했습니다. 현장 운영 상황과 편의시설 사용 가능 여부는 방문 전에 공식 안내처로 다시 확인해야 합니다.","2026-06-23T12:12:06.060Z","2026-06-08T16:01:50.374418+00:00"
"3","","한국관광공사 TourAPI","호텔 인터시티","숙박","대전광역시 유성구 온천로 92","","","","대전|무장애여행|숙박|wheelchair|mobility_access","tourapi:KorWithService2:143023","5cdb1fd3-063c-4f47-8f36-eabfb1484f7d","7dea2e87-d277-4cfc-8a2f-80b61115eb92","호텔 인터시티은/는 대전 지역의 숙박 콘텐츠입니다. 주소는 대전광역시 유성구 온천로 92입니다. 무장애 접근성 정보는 장애인 주차: 장애인 주차장 7칸 있음_무장애 편의시설, 대중교통: 출입구까지 경사로가 설치되어 있음, 출입통로: 주출입구는 경사로가 있어 휠체어 접근 가능함, 엘리베이터: 엘리베이터 있음, 장애인 화장실: 장애인 화장실 있음(1층 로비), 객실: 장애인 객실 있음(1층)입니다. 휠체어 또는 이동약자 관련 근거가 있는 장소로 분류했습니다. 현장 운영 상황과 편의시설 사용 가능 여부는 방문 전에 공식 안내처로 다시 확인해야 합니다.","2026-06-23T12:12:07.038Z","2026-06-08T16:01:50.492013+00:00"
"4","","한국관광공사 TourAPI","롯데시티호텔 대전","숙박","대전광역시 유성구 엑스포로123번길 33 (도룡동)","","","","대전|무장애여행|숙박|wheelchair|mobility_access|visual_impairment","tourapi:KorWithService2:1933910","954cc518-a9cb-4ca9-af0f-251d84d580ee","07c6eec3-85c9-4b4c-b053-d923b4b6eb9b","롯데시티호텔 대전은/는 대전 지역의 숙박 콘텐츠입니다. 주소는 대전광역시 유성구 엑스포로123번길 33 (도룡동)입니다. 무장애 접근성 정보는 장애인 주차: 장애인 주차장 있음(5대)_무장애 편의시설, 대중교통: 출입구까지 턱이 없어 휠체어 접근 가능함, 출입통로: 주출입구는 턱이 없어 휠체어 접근 가능함, 엘리베이터: 엘리베이터 있음, 장애인 화장실: 장애인 화장실 있음, 객실: 장애인 객실 있음(4실), 점자블록: 점자블록 있음_시각장애인 편의시설입니다. 휠체어 또는 이동약자 관련 근거가 있는 장소로 분류했습니다. 현장 운영 상황과 편의시설 사용 가능 여부는 방문 전에 공식 안내처로 다시 확인해야 합니다.","2026-06-08T16:00:26.891Z","2026-06-08T16:01:50.607851+00:00"
"5","","한국관광공사 TourAPI","대청호자연생태관","문화시설","대전광역시 동구 천개동로 41 (추동)","","","","대전|무장애여행|문화시설|wheelchair|mobility_access|visual_impairment|stroller","tourapi:KorWithService2:736422","208ea318-8a96-4dcc-8349-17bfe84aaa00","5d5c9f78-2a55-4a88-b49e-3845034935e0","대청호자연생태관은/는 대전 지역의 문화시설 콘텐츠입니다. 주소는 대전광역시 동구 천개동로 41 (추동)입니다. 무장애 접근성 정보는 장애인 주차: 장애인 전용 주차구역 2칸 있음_무장애 편의시설, 휠체어: 휠체어대여 가능 (1대/1층 사무실), 출입통로: 높낮이차 없이 휠체어로 출입가능, 엘리베이터: 엘리베이터 있음, 장애인 화장실: 장애인전용 화장실 있음 (1,2층), 점자 홍보물: 점자 안내판 있음, 유모차: 유모차 대여 가능함(2대구비, 1층사무실), 수유실: 수유실 있음, 영유아가족 기타: 기저귀교환대 있음입니다. 휠체어 또는 이동약자 관련 근거가 있는 장소로 분류했습니다. 유모차 또는 영유아 가족 관련 근거가 있는 장소로 분류했습니다. 현장 운영 상황과 편의시설 사용 가능 여부는 방문 전에 공식 안내처로 다시 확인해야 합니다.","2026-06-23T12:12:07.113Z","2026-06-08T16:01:50.850841+00:00"
"6","","한국관광공사 TourAPI","뿌리공원","관광지","대전광역시 중구 뿌리공원로 79 뿌리공원","","","","대전|무장애여행|관광지|wheelchair|mobility_access|visual_impairment|stroller","tourapi:KorWithService2:126838","3173e4ac-81a2-4f74-84f7-6180f6dbd552","1c207f29-9340-4f6c-98f8-c5664245fba1","뿌리공원은/는 대전 지역의 관광지 콘텐츠입니다. 주소는 대전광역시 중구 뿌리공원로 79 뿌리공원입니다. 무장애 접근성 정보는 장애인 주차: 장애인 주차장 있음_무장애 편의시설, 대중교통: 출입구까지 턱이 없어 휠체어 접근 가능함, 휠체어: 대여 가능(4대/다리 건너서 1층 안내데스크), 출입통로: 주출입구는 턱이 없어 휠체어 접근 가능함, 장애인 화장실: 장애인 화장실 있음, 안내요원: 안내요원 있음(주출입구), 유모차: 대여 가능(3대/다리 건너서 1층 안내데스크), 수유실: 수유실 있음(한국족보박물관 내 수유실)입니다. 휠체어 또는 이동약자 관련 근거가 있는 장소로 분류했습니다. 유모차 또는 영유아 가족 관련 근거가 있는 장소로 분류했습니다. 현장 운영 상황과 편의시설 사용 가능 여부는 방문 전에 공식 안내처로 다시 확인해야 합니다.","2026-06-23T12:12:07.207Z","2026-06-08T16:01:50.963465+00:00"
"7","","한국관광공사 TourAPI","대전교통문화연수원","관광지","대전광역시 유성구 대덕대로 480","","","","대전|무장애여행|관광지|wheelchair|mobility_access|visual_impairment","tourapi:KorWithService2:1089992","3f3f4f36-aed9-4c81-94bb-4aa0c1c6cbf8","e850b997-4922-4788-94ed-c1aef90ce030","대전교통문화연수원은/는 대전 지역의 관광지 콘텐츠입니다. 주소는 대전광역시 유성구 대덕대로 480입니다. 무장애 접근성 정보는 장애인 주차: 장애인 주차장 있음(대전무역전시관 주차장 이용)_무장애 편의시설, 대중교통: 출입구까지 턱이 없어 휠체어 접근 가능함, 휠체어: 대여가능, 출입통로: 주출입구는 턱이 없어 휠체어 접근 가능함, 엘리베이터: 엘리베이터 있음, 장애인 화장실: 장애인 화장실 있음, 점자블록: 점자블록 있음_시각장애인 편의시설입니다. 휠체어 또는 이동약자 관련 근거가 있는 장소로 분류했습니다. 현장 운영 상황과 편의시설 사용 가능 여부는 방문 전에 공식 안내처로 다시 확인해야 합니다.","2026-06-23T12:12:07.298Z","2026-06-08T16:01:51.091543+00:00"
"8","","한국관광공사 TourAPI","한밭종합운동장","레포츠","대전광역시 중구 대종로 373","","","","대전|무장애여행|레포츠|wheelchair|mobility_access|visual_impairment","tourapi:KorWithService2:1353752","80686526-45a6-415f-b778-1e24881b2ed8","f0db0209-d1c0-4438-b974-fc834f70e8f8","한밭종합운동장은/는 대전 지역의 레포츠 콘텐츠입니다. 주소는 대전광역시 중구 대종로 373입니다. 무장애 접근성 정보는 장애인 주차: 장애인 전용 주차구역 있음, 대중교통: 출입구까지 경사로 및 엘리베이터가 있어 휠체어 접근 가능함, 출입통로: 주출입구는 단차가 없어 휠체어 접근 가능함, 엘리베이터: 엘리베이터 있음, 장애인 화장실: 장애인 전용 화장실 있음, 관람석: 장애인 전용 관람석 있음(엘리베이터 및 경사로 접근가능), 지체장애 기타: 운동장 필드까지 경사로 있음,장애인 자원봉사단 사무실 있음, 점자블록: 점자블록 있음(화장실,엘리베이터)입니다. 휠체어 또는 이동약자 관련 근거가 있는 장소로 분류했습니다. 현장 운영 상황과 편의시설 사용 가능 여부는 방문 전에 공식 안내처로 다시 확인해야 합니다.","2026-06-23T12:12:07.385Z","2026-06-08T16:01:51.216106+00:00"
"9","","한국관광공사 TourAPI","스카이로드","관광지","대전광역시 중구 은행동","","","","대전|무장애여행|관광지|wheelchair|mobility_access","tourapi:KorWithService2:1964622","9f968d0d-e406-424f-b19c-7c487d93202e","c10e88b8-4af0-4c18-9bae-abf896a3914d","스카이로드은/는 대전 지역의 관광지 콘텐츠입니다. 주소는 대전광역시 중구 은행동입니다. 무장애 접근성 정보는 장애인 주차: 장애인 전용 주차구역 있음(시장 방면 공영 주차장)_무장애 편의시설, 대중교통: 출입구까지 단차가 없어 휠체어 접근 가능함, 출입통로: 주출입구는 단차가 없어 휠체어 접근 가능함, 장애인 화장실: 장애인 전용 화장실 있음(공영 주차장 근처 공중화장실)입니다. 휠체어 또는 이동약자 관련 근거가 있는 장소로 분류했습니다. 현장 운영 상황과 편의시설 사용 가능 여부는 방문 전에 공식 안내처로 다시 확인해야 합니다.","2026-06-23T12:12:07.475Z","2026-06-08T16:01:51.317495+00:00"
"10","","한국관광공사 TourAPI","대전전통나래관","문화시설","대전광역시 동구 철갑2길 2 (소제동)","","","","대전|무장애여행|문화시설|wheelchair|mobility_access|visual_impairment","tourapi:KorWithService2:2605913","ea1d923a-5644-4d8a-8553-074cd1d04007","0275e0ae-1989-474c-9484-2722d9b2ea60","대전전통나래관은/는 대전 지역의 문화시설 콘텐츠입니다. 주소는 대전광역시 동구 철갑2길 2 (소제동)입니다. 무장애 접근성 정보는 장애인 주차: 장애인 주차장 있음(1대)_무장애 편의시설, 대중교통: 출입구까지 경사로가 설치되어 있음, 출입통로: 주출입구는 경사로가 있어 휠체어 접근 가능함, 엘리베이터: 엘리베이터 있음, 장애인 화장실: 장애인 화장실 있음(1층), 점자블록: 점자블록 있음_시각장애인 편의시설입니다. 휠체어 또는 이동약자 관련 근거가 있는 장소로 분류했습니다. 현장 운영 상황과 편의시설 사용 가능 여부는 방문 전에 공식 안내처로 다시 확인해야 합니다.","2026-06-23T12:12:08.072Z","2026-06-08T16:01:51.424154+00:00"
